player_id,player_name,team_id,team_name,season_id,season_year,season_type,games_played,games_started,rushing_yards,rushing_touchdowns,receiving_yards,receiving_touchdowns,kick_return_yards,fumbles,fetched_at
9a6337c0-850f-11ec-b84d-a909c14fc4b8,Player_9a6337,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:57:56.896434+00:00
9a6337c0-850f-11ec-b84d-a909c14fc4b8,Player_9a6337,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:56.896436+00:00
9b4a0100-30ce-11f0-881a-e573237ad853,Player_9b4a01,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:57:58.698655+00:00
9df59922-8e8e-48ed-abe9-ee3d04d44b81,Player_9df599,,,17d91be7-4bd3-4407-80e2-eca205c9284a,2020,REG,,,,,,,,,2026-04-16 13:58:00.518599+00:00
9df59922-8e8e-48ed-abe9-ee3d04d44b81,Player_9df599,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:58:00.518607+00:00
9df59922-8e8e-48ed-abe9-ee3d04d44b81,Player_9df599,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:00.518610+00:00
9df59922-8e8e-48ed-abe9-ee3d04d44b81,Player_9df599,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:00.518612+00:00
9df59922-8e8e-48ed-abe9-ee3d04d44b81,Player_9df599,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:00.518615+00:00
9df59922-8e8e-48ed-abe9-ee3d04d44b81,Player_9df599,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:00.518617+00:00
a5b6f4cc-989b-479e-a78f-ea243c55f2d7,Player_a5b6f4,,,17d91be7-4bd3-4407-80e2-eca205c9284a,2020,REG,,,,,,,,,2026-04-16 13:58:02.364809+00:00
a5b6f4cc-989b-479e-a78f-ea243c55f2d7,Player_a5b6f4,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:58:02.364818+00:00
a5b6f4cc-989b-479e-a78f-ea243c55f2d7,Player_a5b6f4,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:02.364820+00:00
a5b6f4cc-989b-479e-a78f-ea243c55f2d7,Player_a5b6f4,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:02.364823+00:00
a5b6f4cc-989b-479e-a78f-ea243c55f2d7,Player_a5b6f4,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:02.364825+00:00
a5b6f4cc-989b-479e-a78f-ea243c55f2d7,Player_a5b6f4,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:02.364828+00:00
a5ec97a0-a276-11ed-8f2b-f3e5e15ec7fb,Player_a5ec97,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:04.226116+00:00
a5ec97a0-a276-11ed-8f2b-f3e5e15ec7fb,Player_a5ec97,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:04.226133+00:00
a5ec97a0-a276-11ed-8f2b-f3e5e15ec7fb,Player_a5ec97,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:04.226136+00:00
a645f7b0-a275-11ed-8f2b-f3e5e15ec7fb,Player_a645f7,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:06.050729+00:00
a645f7b0-a275-11ed-8f2b-f3e5e15ec7fb,Player_a645f7,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:06.050739+00:00
a645f7b0-a275-11ed-8f2b-f3e5e15ec7fb,Player_a645f7,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:06.050743+00:00
a82db4d0-f024-11ed-8095-ff92e6250fed,Player_a82db4,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:08.231305+00:00
a82db4d0-f024-11ed-8095-ff92e6250fed,Player_a82db4,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:08.231316+00:00
a82db4d0-f024-11ed-8095-ff92e6250fed,Player_a82db4,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:08.231319+00:00
aa8cfc20-8510-11ec-9a71-73254de4b571,Player_aa8cfc,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:10.108966+00:00
aa8cfc20-8510-11ec-9a71-73254de4b571,Player_aa8cfc,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:10.108974+00:00
aa8cfc20-8510-11ec-9a71-73254de4b571,Player_aa8cfc,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:10.108978+00:00
ab3ce9e0-1418-11ed-8f55-53b238da45a2,Player_ab3ce9,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:12.201179+00:00
ab3ce9e0-1418-11ed-8f55-53b238da45a2,Player_ab3ce9,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:12.201188+00:00
ab3ce9e0-1418-11ed-8f55-53b238da45a2,Player_ab3ce9,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:12.201200+00:00
ab3ce9e0-1418-11ed-8f55-53b238da45a2,Player_ab3ce9,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:12.201203+00:00
af6c3d50-58c6-11ef-9b3b-c731cdaeaa58,Player_af6c3d,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:14.005579+00:00
af6c3d50-58c6-11ef-9b3b-c731cdaeaa58,Player_af6c3d,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:14.005587+00:00
afe3bc90-a70b-11ed-9c28-875d22de9ca9,Player_afe3bc,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:15.841798+00:00
afe3bc90-a70b-11ed-9c28-875d22de9ca9,Player_afe3bc,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:15.841807+00:00
afe3bc90-a70b-11ed-9c28-875d22de9ca9,Player_afe3bc,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:15.841810+00:00
b7e8a2a0-30d1-11f0-881a-e573237ad853,Player_b7e8a2,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:17.650524+00:00
b9c46ba0-318e-11f0-bf3f-a1f1a3d47671,Player_b9c46b,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:19.575254+00:00
bb882ac0-c5c0-11ee-bbc7-a52b27e3c1e2,Player_bb882a,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:21.415092+00:00
bb882ac0-c5c0-11ee-bbc7-a52b27e3c1e2,Player_bb882a,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:21.415100+00:00
be212c10-828d-11f0-8f76-359c9f6c2995,Player_be212c,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:23.251405+00:00
bfbf7db0-313c-11ed-bfcf-65eaff9f277b,Player_bfbf7d,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:25.021947+00:00
bfbf7db0-313c-11ed-bfcf-65eaff9f277b,Player_bfbf7d,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:25.021956+00:00
bfbf7db0-313c-11ed-bfcf-65eaff9f277b,Player_bfbf7d,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:25.021959+00:00
bfbf7db0-313c-11ed-bfcf-65eaff9f277b,Player_bfbf7d,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:25.021962+00:00
c266f2d0-a8e4-11ed-8f9f-4571392585dc,Player_c266f2,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:26.827143+00:00
c266f2d0-a8e4-11ed-8f9f-4571392585dc,Player_c266f2,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:26.827150+00:00
c266f2d0-a8e4-11ed-8f9f-4571392585dc,Player_c266f2,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:26.827153+00:00
c26b03e0-a275-11ed-8f2b-f3e5e15ec7fb,Player_c26b03,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:28.632983+00:00
c26b03e0-a275-11ed-8f2b-f3e5e15ec7fb,Player_c26b03,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:28.632991+00:00
c26b03e0-a275-11ed-8f2b-f3e5e15ec7fb,Player_c26b03,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:28.632994+00:00
c3566590-30d2-11f0-b2d4-015799b0b751,Player_c35665,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:30.464882+00:00
c358af00-58c7-11ef-9b3b-c731cdaeaa58,Player_c358af,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:32.241601+00:00
c358af00-58c7-11ef-9b3b-c731cdaeaa58,Player_c358af,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:32.241609+00:00
c617a6c0-b9fc-11ee-9029-3760994e83f9,Player_c617a6,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:34.076942+00:00
c617a6c0-b9fc-11ee-9029-3760994e83f9,Player_c617a6,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:34.076950+00:00
cd093fd0-8eab-11ec-8d02-85ead82574a9,Player_cd093f,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:35.899592+00:00
cd093fd0-8eab-11ec-8d02-85ead82574a9,Player_cd093f,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:35.899600+00:00
cd093fd0-8eab-11ec-8d02-85ead82574a9,Player_cd093f,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:35.899604+00:00
cd093fd0-8eab-11ec-8d02-85ead82574a9,Player_cd093f,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:35.899606+00:00
ce8aded0-a652-11ed-8186-3f56d8db30c9,Player_ce8ade,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:37.713923+00:00
ce8aded0-a652-11ed-8186-3f56d8db30c9,Player_ce8ade,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:37.713931+00:00
ce8aded0-a652-11ed-8186-3f56d8db30c9,Player_ce8ade,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:37.713934+00:00
d018e8f0-1d86-11ed-94bb-9f870848f4f7,Player_d018e8,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:39.525262+00:00
d018e8f0-1d86-11ed-94bb-9f870848f4f7,Player_d018e8,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:39.525269+00:00
d018e8f0-1d86-11ed-94bb-9f870848f4f7,Player_d018e8,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:39.525274+00:00
d018e8f0-1d86-11ed-94bb-9f870848f4f7,Player_d018e8,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:39.525278+00:00
d1fd18b0-e9de-11ed-a3a6-d3659340da8d,Player_d1fd18,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:41.375583+00:00
d1fd18b0-e9de-11ed-a3a6-d3659340da8d,Player_d1fd18,,,908fbc20-f5c7-11ee-a306-c311afc28263,2024,REG,,,,,,,,,2026-04-16 13:58:41.375595+00:00
d1fd18b0-e9de-11ed-a3a6-d3659340da8d,Player_d1fd18,,,754e4990-efc7-11ef-bb2a-5d2d22b9215e,2025,REG,,,,,,,,,2026-04-16 13:58:41.375600+00:00
d7edec4a-0e7d-46c5-bc9b-4a311c486356,Player_d7edec,,,d1132b13-2c29-4e6d-9011-b627c7fd9a17,2021,REG,,,,,,,,,2026-04-16 13:58:43.178430+00:00
d7edec4a-0e7d-46c5-bc9b-4a311c486356,Player_d7edec,,,ff53e5e4-10ef-4842-a0b7-b489956fa07e,2022,REG,,,,,,,,,2026-04-16 13:58:43.178438+00:00
d7edec4a-0e7d-46c5-bc9b-4a311c486356,Player_d7edec,,,f58c6dbf-9dfe-487e-8b0b-af66af887206,2023,REG,,,,,,,,,2026-04-16 13:58:43.178441+00:00
