stat_id,player_id,team_id,season_id,games_played,games_started,rushing_yards,rushing_touchdowns,receiving_yards,receiving_touchdowns,kick_return_yards,fumbles,first_name,last_name,position,team_name,team_market
682,2f1fd160-7c8e-11f0-a90c-e39406096da4,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Tevita,Tuha,OLB,,
522,97743c50-abaa-11ec-b6ea-913ac4d9e609,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Josiah,Jackson,DL,,
152,6f7bdaaa-138f-4fec-8a61-6c1be48511c3,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Henry,Rutledge,RB,,
1084,5935ba00-a275-11ed-8f2b-f3e5e15ec7fb,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Taurean,York,LB,,
554,b4554250-3246-11ee-9bf9-b5db0242af4d,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Siddeeq,Shabazz,SAF,,
184,98dfbd30-9061-11ec-8556-6fa97bcffaf0,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Boston,Brinkley,OL,,
1116,7a3d5a00-3193-11f0-9b47-bbcaf5ceb380,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Kade,Stewart,WR,,
773,7f170c70-58d5-11ef-858c-7160a458c289,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Carson,Tujague,DT,,
613,f559e220-60cf-11ef-b49d-edf8451356a1,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Jason,Gwan,DL,,
243,c74154b0-863c-11ec-8b4f-bfdcdbacd7ed,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Mo,Clipper,OL,,
1015,2f40a100-f5af-11ed-b233-eff84a81117d,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Shea,Freibaum,LS,,
147,6e67e781-f023-44d0-94ae-3d547bace361,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Logan,Mauldin,TE,,
1239,c358af00-58c7-11ef-9b3b-c731cdaeaa58,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Bryce,Barnes,OL,,
179,97f670b0-90eb-11f0-9c1f-13825b654c5a,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Tristen,Brown,DL,,
1297,f26bc270-30ce-11f0-881a-e573237ad853,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Kelshaun,Johnson,WR,,
1271,e1615a30-58c5-11ef-9b3b-c731cdaeaa58,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Layne,Gerke,SAF,,
741,667a2cc0-425d-11f0-8ab8-c131fccb2279,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Alex,Faiivae,TE,,
640,0a7bb1c0-4279-11f0-8c0c-bf2f3d0977bb,0,754e4990-efc7-11ef-bb2a-5d2d22b9215e,0,0,0,0,0,0,0,0,Joshua,Papu,DT,,
